id_proveedor,nombre_proveedor,contacto,telefono,email,direccion
1,TextilAndes,Lucía Paredes,3881029456,lucia@textilandes.com,"Av. Rivadavia 2450, CABA"
2,ModaSur,Diego Franco,3881940273,ventas@modasur.com,"Calle 9 N°123, La Plata"
3,UrbanFit,Romina Vargas,3882058371,contacto@urbanfit.com,"Av. Santa Fe 3200, CABA"
4,Calzados Río,Federico Gómez,3882184930,federico@calzadosrio.com,"Av. Mitre 200, Avellaneda"
5,AbrigoStore,Valeria Ríos,3882345907,valeria@abrigostore.com,"Av. Cabildo 2800, CABA"
6,FashionHouse,Sofía Cabrera,3882456719,scabrera@fashionhouse.com,"Córdoba 1400, Rosario"
7,DeportivaMax,Hernán Torres,3882569043,htorres@deportivamax.com,"Av. Libertador 4500, CABA"
8,NordicWear,Julia González,3882673180,jgonzalez@nordicwear.com,"Belgrano 220, Mendoza"
9,Andina Jeans,Matías Romero,3882784506,matias@andinajeans.com,"San Martín 455, Mendoza"
10,Zapatillas Delta,Pablo Núñez,3882891347,pablo@zapatillasdelta.com,"Av. San Juan 320, CABA"
11,Textiles del Sur,Mariana Giménez,3883015728,mariana@textilessur.com,"Calle 10 Nº200, Quilmes"
12,Patagonia Moda,Lautaro Molina,3883129054,lautaro@patagoniamoda.com,"Av. Las Heras 650, Bariloche"
13,Viento Norte,Mónica Paz,3883248610,monica@vientonorte.com,"San Martín 330, Tucumán"
14,EcoRopa,Lucio Campos,3883352794,lucio@ecoropa.com,"Hipólito Yrigoyen 2200, CABA"
15,Blue Denim,Nicolás Peralta,3883471905,nicolas@bluedenim.com,"Av. Pueyrredón 1100, CABA"
16,Ropa Joven,Martina López,3883584209,ventas@ropajoven.com,"Alem 390, Córdoba"
17,Step Up Shoes,Gastón Correa,3883695841,gcorrea@stepup.com,"Av. San Martín 550, Mar del Plata"
18,Estilo Urbano,Camila Díaz,3885387249,camila@estilourbano.com,"Rivadavia 3800, CABA"
19,Indumentaria Río,Federica Santos,3883709125,federica@indurio.com,"Av. Belgrano 190, CABA"
20,Línea Blanca,Guillermo Ortega,3883810457,guillermo@lineablanca.com,"Calle 7 N°45, La Plata"
21,NovaFit,Ailén Barreto,3885048267,ailen@novafit.com,"Maipú 800, San Miguel"
22,OutdoorPro,Carlos Ramos,3884709206,carlos@outdoorpro.com,"Mitre 230, Neuquén"
23,ClásicaModa,Jimena Pérez,3885498320,jimena@clasicamoda.com,"Av. Córdoba 1900, Rosario"
24,PuntoChic,Florencia Castro,3885609713,flor@puntochic.com,"Calle 5 Nº900, Bahía Blanca"
25,EliteFootwear,Rodrigo Arias,3885270134,rodrigo@elitefootwear.com,"Sarmiento 1222, CABA"
26,Armonía Ropa,Rocío Pereyra,3885159028,rocio@armoniaropa.com,"Córdoba 390, Córdoba"
27,Tienda Sur,Damián Suárez,3884937542,damian@tiendasur.com,"Calle 8 N°320, La Plata"
28,NordSport,Carla Medina,3884598370,carla@nordsport.com,"Guemes 400, San Isidro"
29,TrendyWear,Leandro Duarte,3884826139,leandro@trendywear.com,"Florida 950, CABA"
30,AltaMontaña,Marcos Pinto,3884487093,marcos@altamontania.com,"9 de Julio 320, Mendoza"
31,UrbanShoes,Noelia Arias,3884376218,noelia@urbanshoes.com,"Belgrano 720, Rosario"
32,Ropa&Co,Fernando Ledesma,3884269501,fernando@ropaco.com,"Av. Scalabrini Ortiz 1500, CABA"
33,CueroFino,Eliana Roldán,3884152830,eliana@cuerofino.com,"Av. Corrientes 2100, CABA"
34,Deportmax,Santiago Vera,3884037192,santiago@deportmax.com,"Calle Mitre 800, Córdoba"
35,Piel Urbana,Melisa Rojas,3883926084,melisa@pielurbana.com,"Lavalle 1600, CABA"
